did,r_dragon_name,r_sid,r_role,r_skill_name,r_camerawork,r_indi,r_sk_size,condition_1,add_option_1,condition_2,add_option_2,res,t_desc1,t_desc2
120091,테라 테일드래곤,200911,dealer,어스 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120092,테일드래곤,200912,dealer,아쿠아 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120093,이그니 테일드래곤,200913,dealer,플레어 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120094,루스 테일드래곤,200914,dealer,라이트 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120095,녹티스 테일드래곤,200915,dealer,다크니스 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120111,테라 페어리드래곤,201111,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120112,페어리드래곤,201112,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120113,이그니 페어리드래곤,201113,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120114,루스 페어리드래곤,201114,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120115,녹티스 페어리드래곤,201115,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120122,사이커드래곤,201212,tanker,몰아치는 파도,close_up,square_width,2,8,def_up;self;1;10;100;15,10,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120123,이그니 사이커드래곤,201213,tanker,몰아치는 파도,close_up,square_width,2,8,def_up;self;1;10;100;15,10,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120124,루스 사이커드래곤,201214,tanker,몰아치는 파도,close_up,square_width,2,8,def_up;self;1;10;100;15,10,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120125,녹티스 사이커드래곤,201215,tanker,몰아치는 파도,close_up,square_width,2,8,def_up;self;1;10;100;15,10,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120141,테라 퍼플립스드래곤,201411,healer,버블 샤워,full,wedge,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120142,퍼플립스드래곤,201412,healer,버블 샤워,full,wedge,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120143,이그니 퍼플립스드래곤,201413,healer,버블 샤워,full,wedge,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120144,루스 퍼플립스드래곤,201414,healer,버블 샤워,full,wedge,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120145,녹티스 퍼플립스드래곤,201415,healer,버블 샤워,full,wedge,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120151,변종 에그드래곤,201511,tanker,에그 발칸,full,target_round,3,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120154,루스 변종 에그드래곤,201514,tanker,에그 발칸,full,target_round,3,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120155,녹티스 변종 에그드래곤,201515,tanker,에그 발칸,full,target_round,3,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120161,테라 핑크벨,201611,healer,치유의 바람,full,square_height,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120162,아쿠아 핑크벨,201612,healer,치유의 바람,full,square_height,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120164,루스 핑크벨,201614,healer,치유의 바람,full,square_height,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120165,녹티스 핑크벨,201615,healer,치유의 바람,full,square_height,1,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120174,루스 에일리언드래곤,201714,supporter,우주의 힘,close_up,round,2,4,feedback_supporter;self;1;1;100;10,6,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120175,녹티스 에일리언드래곤,201715,supporter,우주의 힘,close_up,round,2,4,feedback_supporter;self;1;1;100;10,6,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120181,테라 블루드래곤,201811,dealer,번개 구름,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120183,이그니 블루드래곤,201813,dealer,번개 구름,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120184,루스 블루드래곤,201814,dealer,번개 구름,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120185,녹티스 블루드래곤,201815,dealer,번개 구름,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120191,테라 리티오,201911,healer,백야의 태양,full,square_width,1,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120192,아쿠아 리티오,201912,healer,백야의 태양,full,square_width,1,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120193,이그니 리티오,201913,healer,백야의 태양,full,square_width,1,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120194,루스 리티오,201914,healer,백야의 태양,full,square_width,1,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120195,녹티스 리티오,201915,healer,백야의 태양,full,square_width,1,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120201,테라 허리케인,202011,supporter,돌풍,close_up,wedge,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120202,아쿠아 허리케인,202012,supporter,돌풍,close_up,wedge,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120203,이그니 허리케인,202013,supporter,돌풍,close_up,wedge,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120204,루스 허리케인,202014,supporter,돌풍,close_up,wedge,1,3,feedback_supporter;self;1;1;100;10,5,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120213,가루다,202113,tanker,화염 충돌,tracking,target_cone,3,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120215,녹티스 가루다,202115,tanker,화염 충돌,tracking,target_cone,3,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120223,번개고룡,202213,dealer,뇌룡포,close_up,bar,1,3,cri_chance_up;self;1;10;100;20,5,cri_chance_up;self;1;15;100;30,,크리티컬 확률10% 증가,방어력20%증가
120224,루스 번개고룡,202214,dealer,뇌룡포,close_up,bar,1,3,atk_up;self;1;10;100;15,5,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120225,녹티스 번개고룡,202215,dealer,뇌룡포,close_up,bar,1,3,atk_up;self;1;10;100;15,5,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120231,테라 자룡,202311,tanker,일기당천,full,penetration,2,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120232,아쿠아 자룡,202312,tanker,일기당천,full,penetration,2,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120233,자룡,202313,tanker,일기당천,full,penetration,2,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120271,테라 붐버,202711,tanker,익스플로전,tracking,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120272,아쿠아 붐버,202712,tanker,익스플로전,tracking,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120273,붐버,202713,tanker,익스플로전,tracking,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120274,루스 붐버,202714,tanker,익스플로전,tracking,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120294,고대신룡,202914,dealer,신룡의 빛,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120295,녹티스 고대신룡,202915,dealer,신룡의 빛,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120302,아쿠아 삐에로드래곤,203011,dealer,갬빗 타임,close_up,round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120303,이그니 삐에로드래곤,203012,dealer,갬빗 타임,close_up,round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120304,삐에로드래곤,203013,dealer,갬빗 타임,close_up,round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120305,녹티스 삐에로드래곤,203014,dealer,갬빗 타임,close_up,round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120314,파라오드래곤,203114,tanker,사원의 수호자,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120315,녹티스 파라오드래곤,203115,tanker,사원의 수호자,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120324,루스 크레센트,203214,healer,문라이트,full,round,2,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120325,크레센트,203215,healer,문라이트,full,round,2,4,heal;ally_hp_low;1;1;100;10,6,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120332,아쿠아 서펀트드래곤,203312,dealer,서펀트 스트라이크,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120333,이그니 서펀트드래곤,203313,dealer,서펀트 스트라이크,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120335,서펀트드래곤,203315,dealer,서펀트 스트라이크,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120371,테라 레이디드래곤,203711,tanker,나르시즘,full,wedge,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120372,아쿠아 레이디드래곤,203712,tanker,나르시즘,full,wedge,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120373,이그니 레이디드래곤,203713,tanker,나르시즘,full,wedge,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120374,루스 레이디드래곤,203714,tanker,나르시즘,full,wedge,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120375,녹티스 레이디드래곤,203715,tanker,나르시즘,full,wedge,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120383,이그니 시타엘,203813,tanker,은빛 병장기,full,penetration,2,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120384,시타엘,203814,tanker,은빛 병장기,full,penetration,2,5,def_up;self;1;10;100;15,7,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120404,백룡,204014,dealer,백화의 번개,close_up,wedge,1,3,atk_up;self;1;10;100;15,5,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120405,흑룡,204015,dealer,흑화의 번개,close_up,wedge,1,3,atk_up;self;1;10;100;15,5,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120411,테라 옵타티오,204111,dealer,볼테스 X,close_up,voltes_x,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120412,아쿠아 옵타티오,204112,dealer,볼테스 X,close_up,voltes_x,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120413,이그니 옵타티오,204113,dealer,볼테스 X,close_up,voltes_x,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120414,루스 옵타티오,204114,dealer,볼테스 X,close_up,voltes_x,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120415,녹티스 옵타티오,204115,dealer,볼테스 X,close_up,voltes_x,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120421,테라 수라드래곤,204211,dealer,수라장,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120422,아쿠아 수라드래곤,204212,dealer,수라장,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120423,수라드래곤,204213,dealer,수라장,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120431,스마트드래곤,204311,supporter,고서의 비밀,close_up,target_cone,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120432,아쿠아 스마트드래곤,204312,supporter,고서의 비밀,close_up,target_cone,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120433,이그니 스마트드래곤,204313,supporter,고서의 비밀,close_up,target_cone,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120393,이그니 원더드래곤,203913,tanker,경이로운 힘,full,square_multi,1,3,def_up;self;1;10;100;15,5,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120395,원더드래곤,203915,tanker,경이로운 힘,full,square_multi,1,3,def_up;self;1;10;100;15,5,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120445,말로단,204515,dealer,말로단 드래그 스킬,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120454,아이가스,204614,dealer,아이가스 드래그 스킬,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120461,오리지널,204614,dealer,아이가스 드래그 스킬,close_up,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120061,에스티미아,200611,healer,녹의 신념,close_up,target_cone,2,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120062,아쿠아 에스티미아,200612,healer,녹의 신념,close_up,target_cone,2,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120063,이그니 에스티미아,200613,healer,녹의 신념,close_up,target_cone,2,3,heal;ally_hp_low;1;1;100;10,5,heal;ally_hp_low;1;1;100;20,,체력10%회복,체력20%회복
120101,테라 빙하고룡,201011,dealer,냉동빔,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120102,빙하고룡,201012,dealer,냉동빔,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120104,루스 빙하고룡,201014,dealer,냉동빔,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120105,녹티스 빙하고룡,201015,dealer,냉동빔,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120241,테라 파이거,202411,dealer,버스트 클로,tracking,target_cone,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120242,아쿠아 파이거,202412,dealer,포이즌 클로,tracking,target_cone,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120243,파이거,202413,dealer,파이어 클로,tracking,target_cone,3,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120344,루스 다크닉스,203414,dealer,살의의 파동,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120345,다크닉스,203415,dealer,살의의 파동,close_up,bar,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120041,오르페우스,200411,dealer,분노의 질주,full,square_width,2,8,atk_up;self;1;10;100;15,10,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120043,이그니 오르페우스,200413,dealer,분노의 질주,full,square_width,2,8,atk_up;self;1;10;100;15,10,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120354,루스 캣츠곤,203514,dealer,난동부리기,tracking,target_round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120355,캣츠곤,203515,dealer,난동부리기,tracking,target_round,3,5,atk_up;self;1;10;100;15,7,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
