did,t_name,type,res,test,underling,scale,icon,mg_weight,fp_weight,pick_weight,rarity,birthgrade,role,attr,skill_basic,skill_active,skill_1,skill_2,skill_3,skill_3_type,skill_leader,skill_leader_type,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,relation_point,t_desc
120083,메이플드래곤,leafdragon,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,10,10,10,common,2,dealer,fire,200000,200813,200823,200833,200843,skill_active,,,2400,500,5000,30,10,75,5,0,5,20,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
120084,깅고리프드래곤,leafdragon,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,10,10,10,common,2,dealer,light,200000,200813,200823,200833,200843,skill_active,,,2000,500,5000,40,10,75,5,0,5,20,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
120085,블랙리프드래곤,leafdragon,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,10,10,10,common,2,dealer,dark,200000,200813,200823,200833,200843,skill_active,,,2000,500,5000,30,25,75,5,0,5,20,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
120091,테라 테일드래곤,taildragon,res/character/dragon/taildragon_@_#/taildragon_@_#.spine,1,0,0.8,res/ui/icon/cha/taildragon_@_#.png,10,10,10,rare,3,supporter,earth,200000,200911,200921,200931,200941,skill_active,,,1050,945,5250,35,8,65,5,5,10,40,"7개의 꼬리를 가진 드래곤. 늪지에 주로 서식하며, 물고기를 주식으로 살아간다. 성체가 되면 꼬리를 이용해 공격해 먹이를 잡는다."
120092,테일드래곤,taildragon,res/character/dragon/taildragon_@_#/taildragon_@_#.spine,1,0,0.8,res/ui/icon/cha/taildragon_@_#.png,10,10,10,rare,3,supporter,water,200000,200912,200922,200932,200942,skill_active,,,1050,788,6300,35,8,65,5,5,10,40,"7개의 꼬리를 가진 드래곤. 늪지에 주로 서식하며, 물고기를 주식으로 살아간다. 성체가 되면 꼬리를 이용해 공격해 먹이를 잡는다."
120093,이그니 테일드래곤,taildragon,res/character/dragon/taildragon_@_#/taildragon_@_#.spine,1,0,0.8,res/ui/icon/cha/taildragon_@_#.png,10,10,10,rare,3,supporter,fire,200000,200913,200923,200933,200943,skill_active,,,1260,788,5250,35,8,65,5,5,10,40,"7개의 꼬리를 가진 드래곤. 늪지에 주로 서식하며, 물고기를 주식으로 살아간다. 성체가 되면 꼬리를 이용해 공격해 먹이를 잡는다."
120094,루스 테일드래곤,taildragon,res/character/dragon/taildragon_@_#/taildragon_@_#.spine,1,0,0.8,res/ui/icon/cha/taildragon_@_#.png,10,10,10,rare,3,supporter,light,200000,200914,200924,200934,200944,skill_active,,,1050,788,5250,45,8,65,5,5,10,40,"7개의 꼬리를 가진 드래곤. 늪지에 주로 서식하며, 물고기를 주식으로 살아간다. 성체가 되면 꼬리를 이용해 공격해 먹이를 잡는다."
120095,녹티스 테일드래곤,taildragon,res/character/dragon/taildragon_@_#/taildragon_@_#.spine,1,0,0.8,res/ui/icon/cha/taildragon_@_#.png,10,10,10,rare,3,supporter,dark,200000,200915,200925,200935,200945,skill_active,,,1050,788,5250,35,23,65,5,5,10,40,"7개의 꼬리를 가진 드래곤. 늪지에 주로 서식하며, 물고기를 주식으로 살아간다. 성체가 되면 꼬리를 이용해 공격해 먹이를 잡는다."
120111,테라 페어리드래곤,fairydragon,res/character/dragon/fairydragon_@_#/fairydragon_@_#.spine,1,0,0.8,res/ui/icon/cha/fairydragon_@_#.png,10,10,10,hero,4,supporter,earth,200000,201111,201121,201131,201141,skill_active,,,1100,990,5500,35,8,65,5,5,10,0,과거 요정이라고 불렸던 드래곤. 신기한 생김새와 화려한 날개는 누가 봐도 요정이라고 착각할 만하다.
120112,페어리드래곤,fairydragon,res/character/dragon/fairydragon_@_#/fairydragon_@_#.spine,1,0,0.8,res/ui/icon/cha/fairydragon_@_#.png,10,10,10,hero,4,supporter,water,200000,201112,201122,201132,201142,skill_active,,,1100,825,6600,35,8,65,5,5,10,0,과거 요정이라고 불렸던 드래곤. 신기한 생김새와 화려한 날개는 누가 봐도 요정이라고 착각할 만하다.
120113,이그니 페어리드래곤,fairydragon,res/character/dragon/fairydragon_@_#/fairydragon_@_#.spine,1,0,0.8,res/ui/icon/cha/fairydragon_@_#.png,10,10,10,hero,4,supporter,fire,200000,201113,201123,201133,201143,skill_active,,,1320,825,5500,35,8,65,5,5,10,0,과거 요정이라고 불렸던 드래곤. 신기한 생김새와 화려한 날개는 누가 봐도 요정이라고 착각할 만하다.
120114,루스 페어리드래곤,fairydragon,res/character/dragon/fairydragon_@_#/fairydragon_@_#.spine,1,0,0.8,res/ui/icon/cha/fairydragon_@_#.png,10,10,10,hero,4,supporter,light,200000,201114,201124,201134,201144,skill_active,,,1100,825,5500,45,8,65,5,5,10,0,과거 요정이라고 불렸던 드래곤. 신기한 생김새와 화려한 날개는 누가 봐도 요정이라고 착각할 만하다.
120115,녹티스 페어리드래곤,fairydragon,res/character/dragon/fairydragon_@_#/fairydragon_@_#.spine,1,0,0.8,res/ui/icon/cha/fairydragon_@_#.png,10,10,10,hero,4,supporter,dark,200000,201115,201125,201135,201145,skill_active,,,1100,825,5500,35,23,65,5,5,10,0,과거 요정이라고 불렸던 드래곤. 신기한 생김새와 화려한 날개는 누가 봐도 요정이라고 착각할 만하다.
120122,사이커드래곤,psykerdragon,res/character/dragon/psykerdragon_@_#/psykerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/psykerdragon_@_#.png,10,10,10,hero,4,tanker,water,200000,201212,201222,201232,201242,skill_active,,,1100,2200,9900,25,5,50,10,0,10,0,그림자의 세계에 살아가는 폭열성 드래곤. 번개를 온몸에서 발산하여 쉽게 다가가기 어렵다. 전투 시 몸이 2배로 커진다.
120123,이그니 사이커드래곤,psykerdragon,res/character/dragon/psykerdragon_@_#/psykerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/psykerdragon_@_#.png,10,10,10,hero,4,tanker,fire,200000,201213,201223,201233,201243,skill_active,,,1320,2200,8250,25,5,50,10,0,10,0,그림자의 세계에 살아가는 폭열성 드래곤. 번개를 온몸에서 발산하여 쉽게 다가가기 어렵다. 전투 시 몸이 2배로 커진다.
120124,루스 사이커드래곤,psykerdragon,res/character/dragon/psykerdragon_@_#/psykerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/psykerdragon_@_#.png,10,10,10,hero,4,tanker,light,200000,201214,201224,201234,201244,skill_active,,,1100,2200,8250,35,5,50,10,0,10,0,그림자의 세계에 살아가는 폭열성 드래곤. 번개를 온몸에서 발산하여 쉽게 다가가기 어렵다. 전투 시 몸이 2배로 커진다.
120125,녹티스 사이커드래곤,psykerdragon,res/character/dragon/psykerdragon_@_#/psykerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/psykerdragon_@_#.png,10,10,10,hero,4,tanker,dark,200000,201215,201225,201235,201245,skill_active,,,1100,2200,8250,25,20,50,10,0,10,0,그림자의 세계에 살아가는 폭열성 드래곤. 번개를 온몸에서 발산하여 쉽게 다가가기 어렵다. 전투 시 몸이 2배로 커진다.
120141,테라 퍼플립스드래곤,purplelipsdragon,res/character/dragon/purplelipsdragon_@_#/purplelipsdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/purplelipsdragon_@_#.png,10,10,10,common,2,healer,earth,200000,201411,201421,201431,201441,skill_active,,,1500,960,7500,30,10,50,5,10,5,20,신비로운 색상의 드래곤. 이마 한가운데의 보석을 노리는 수렵꾼 때문에 항상 인적이 드문 장소에 서식지를 정한다.
120142,퍼플립스드래곤,purplelipsdragon,res/character/dragon/purplelipsdragon_@_#/purplelipsdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/purplelipsdragon_@_#.png,10,10,10,common,2,healer,water,200000,201412,201422,201432,201442,new,,,1500,800,9000,30,10,50,5,10,5,20,신비로운 색상의 드래곤. 이마 한가운데의 보석을 노리는 수렵꾼 때문에 항상 인적이 드문 장소에 서식지를 정한다.
120143,이그니 퍼플립스드래곤,purplelipsdragon,res/character/dragon/purplelipsdragon_@_#/purplelipsdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/purplelipsdragon_@_#.png,10,10,10,common,2,healer,fire,200000,201413,201423,201433,201443,skill_active,,,1800,800,7500,30,10,50,5,10,5,20,신비로운 색상의 드래곤. 이마 한가운데의 보석을 노리는 수렵꾼 때문에 항상 인적이 드문 장소에 서식지를 정한다.
120144,루스 퍼플립스드래곤,purplelipsdragon,res/character/dragon/purplelipsdragon_@_#/purplelipsdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/purplelipsdragon_@_#.png,10,10,10,common,2,healer,light,200000,201414,201424,201434,201444,skill_active,,,1500,800,7500,40,10,50,5,10,5,20,신비로운 색상의 드래곤. 이마 한가운데의 보석을 노리는 수렵꾼 때문에 항상 인적이 드문 장소에 서식지를 정한다.
120145,녹티스 퍼플립스드래곤,purplelipsdragon,res/character/dragon/purplelipsdragon_@_#/purplelipsdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/purplelipsdragon_@_#.png,10,10,10,common,2,healer,dark,200000,201415,201425,201435,201445,skill_active,,,1500,800,7500,30,25,50,5,10,5,20,신비로운 색상의 드래곤. 이마 한가운데의 보석을 노리는 수렵꾼 때문에 항상 인적이 드문 장소에 서식지를 정한다.
120151,변종 에그드래곤,mutanteggdragon,res/character/dragon/mutanteggdragon_@_#/mutanteggdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/mutanteggdragon_@_#.png,10,10,10,rare,3,tanker,earth,200000,201511,201521,201531,201541,skill_active,,,1050,2520,7875,25,5,50,10,0,10,40,"즈믄과는 다른 형태의 변종 드래곤. 진화와 성장이 제한적이지만, 뛰어난 신체 능력을 무기로 적에 맞선다. 온몸에 씌워진 강철 같은 알 껍질은 치명적인 공격력을 지니고 있다."
120152,변종 에그드래곤,mutanteggdragon,res/character/dragon/mutanteggdragon_@_#/mutanteggdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/mutanteggdragon_@_#.png,10,10,10,rare,3,tanker,water,200000,201511,201521,201531,201541,skill_active,,,1050,2100,9450,25,5,50,10,0,10,40,"즈믄과는 다른 형태의 변종 드래곤. 진화와 성장이 제한적이지만, 뛰어난 신체 능력을 무기로 적에 맞선다. 온몸에 씌워진 강철 같은 알 껍질은 치명적인 공격력을 지니고 있다."
120153,변종 에그드래곤,mutanteggdragon,res/character/dragon/mutanteggdragon_@_#/mutanteggdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/mutanteggdragon_@_#.png,10,10,10,rare,3,tanker,fire,200000,201511,201521,201531,201541,skill_active,,,1260,2100,7875,25,5,50,10,0,10,40,"즈믄과는 다른 형태의 변종 드래곤. 진화와 성장이 제한적이지만, 뛰어난 신체 능력을 무기로 적에 맞선다. 온몸에 씌워진 강철 같은 알 껍질은 치명적인 공격력을 지니고 있다."
120154,루스 변종 에그드래곤,mutanteggdragon,res/character/dragon/mutanteggdragon_@_#/mutanteggdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/mutanteggdragon_@_#.png,10,10,10,rare,3,tanker,light,200000,201514,201524,201534,201544,skill_active,,,1050,2100,7875,35,5,50,10,0,10,40,"즈믄과는 다른 형태의 변종 드래곤. 진화와 성장이 제한적이지만, 뛰어난 신체 능력을 무기로 적에 맞선다. 온몸에 씌워진 강철 같은 알 껍질은 치명적인 공격력을 지니고 있다."
120155,녹티스 변종 에그드래곤,mutanteggdragon,res/character/dragon/mutanteggdragon_@_#/mutanteggdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/mutanteggdragon_@_#.png,10,10,10,rare,3,tanker,dark,200000,201515,201525,201535,201545,skill_active,,,1050,2100,7875,25,20,50,10,0,10,40,"즈믄과는 다른 형태의 변종 드래곤. 진화와 성장이 제한적이지만, 뛰어난 신체 능력을 무기로 적에 맞선다. 온몸에 씌워진 강철 같은 알 껍질은 치명적인 공격력을 지니고 있다."
120161,테라 핑크벨,pinkbell,res/character/dragon/pinkbell_@_#/pinkbell_@_#.spine,1,0,0.8,res/ui/icon/cha/pinkbell_@_#.png,10,10,10,rare,3,healer,earth,200000,201611,201621,201631,201641,skill_active,,,1575,1008,7875,30,10,50,5,10,5,40,"숲의 요정이라 불렸던 드래곤. 과거에는 아름다운 생김새와 귀여운 외모로 요정이라 불렸으나, 고약한 질투심과 심한 장난으로 사람에게 미움을 받게 되었다."
120162,아쿠아 핑크벨,pinkbell,res/character/dragon/pinkbell_@_#/pinkbell_@_#.spine,1,0,0.8,res/ui/icon/cha/pinkbell_@_#.png,10,10,10,rare,3,healer,water,200000,201612,201622,201632,201642,skill_active,,,1575,840,9450,30,10,50,5,10,5,40,"숲의 요정이라 불렸던 드래곤. 과거에는 아름다운 생김새와 귀여운 외모로 요정이라 불렸으나, 고약한 질투심과 심한 장난으로 사람에게 미움을 받게 되었다."
120163,핑크벨,pinkbell,res/character/dragon/pinkbell_@_#/pinkbell_@_#.spine,1,0,0.8,res/ui/icon/cha/pinkbell_@_#.png,10,10,10,rare,3,healer,fire,200000,201612,201622,201632,201642,skill_active,,,1890,840,7875,30,10,50,5,10,5,40,"숲의 요정이라 불렸던 드래곤. 과거에는 아름다운 생김새와 귀여운 외모로 요정이라 불렸으나, 고약한 질투심과 심한 장난으로 사람에게 미움을 받게 되었다."
120164,루스 핑크벨,pinkbell,res/character/dragon/pinkbell_@_#/pinkbell_@_#.spine,1,0,0.8,res/ui/icon/cha/pinkbell_@_#.png,10,10,10,rare,3,healer,light,200000,201614,201624,201634,201644,skill_active,,,1575,840,7875,40,10,50,5,10,5,40,"숲의 요정이라 불렸던 드래곤. 과거에는 아름다운 생김새와 귀여운 외모로 요정이라 불렸으나, 고약한 질투심과 심한 장난으로 사람에게 미움을 받게 되었다."
120165,녹티스 핑크벨,pinkbell,res/character/dragon/pinkbell_@_#/pinkbell_@_#.spine,1,0,0.8,res/ui/icon/cha/pinkbell_@_#.png,10,10,10,rare,3,healer,dark,200000,201615,201625,201635,201645,skill_active,,,1575,840,7875,30,25,50,5,10,5,40,"숲의 요정이라 불렸던 드래곤. 과거에는 아름다운 생김새와 귀여운 외모로 요정이라 불렸으나, 고약한 질투심과 심한 장난으로 사람에게 미움을 받게 되었다."
120172,물 에일리언드래곤,aliendragon,res/character/dragon/aliendragon_@_#/aliendragon_@_#.spine,1,0,0.8,res/ui/icon/cha/aliendragon_@_#.png,10,10,10,hero,4,supporter,water,200000,201714,201724,201734,201744,skill_active,,,1100,825,6600,35,8,65,5,5,10,0,죽음의 혜성이 충돌한 이후 나타난 외계 드래곤. 특이한 외모와 성격 때문에 괴소문이 자주 따라다닌다.
120173,불 에일리언드래곤,aliendragon,res/character/dragon/aliendragon_@_#/aliendragon_@_#.spine,1,0,0.8,res/ui/icon/cha/aliendragon_@_#.png,10,10,10,hero,4,supporter,fire,200000,201714,201724,201734,201744,skill_active,,,1320,825,5500,35,8,65,5,5,10,0,죽음의 혜성이 충돌한 이후 나타난 외계 드래곤. 특이한 외모와 성격 때문에 괴소문이 자주 따라다닌다.
120174,루스 에일리언드래곤,aliendragon,res/character/dragon/aliendragon_@_#/aliendragon_@_#.spine,1,0,0.8,res/ui/icon/cha/aliendragon_@_#.png,10,10,10,hero,4,supporter,light,200000,201714,201724,201734,201744,skill_active,,,1100,825,5500,45,8,65,5,5,10,0,죽음의 혜성이 충돌한 이후 나타난 외계 드래곤. 특이한 외모와 성격 때문에 괴소문이 자주 따라다닌다.
120175,녹티스 에일리언드래곤,aliendragon,res/character/dragon/aliendragon_@_#/aliendragon_@_#.spine,1,0,0.8,res/ui/icon/cha/aliendragon_@_#.png,10,10,10,hero,4,supporter,dark,200000,201715,201725,201735,201745,skill_active,,,1100,825,5500,35,23,65,5,5,10,0,죽음의 혜성이 충돌한 이후 나타난 외계 드래곤. 특이한 외모와 성격 때문에 괴소문이 자주 따라다닌다.
120181,테라 블루드래곤,bluedragon,res/character/dragon/bluedragon_@_#/bluedragon_@_#.spine,1,0,0.8,res/ui/icon/cha/bluedragon_@_#.png,10,10,10,common,2,dealer,earth,200000,201811,201821,201831,201841,skill_active,,,2000,600,5000,30,10,75,5,0,5,20,동양의 신화에 구름과 비를 몰고 다닌다고 전해지는 드래곤이다. 이무기가 여의주를 얻어 청룡이 되었다고 전해진다. 주로 날씨에 관련된 마법을 부릴 줄 안다.
120182,블루드래곤,bluedragon,res/character/dragon/bluedragon_@_#/bluedragon_@_#.spine,1,0,0.8,res/ui/icon/cha/bluedragon_@_#.png,10,10,10,common,2,dealer,water,200000,201811,201821,201831,201841,skill_active,,,2000,500,6000,30,10,75,5,0,5,20,동양의 신화에 구름과 비를 몰고 다닌다고 전해지는 드래곤이다. 이무기가 여의주를 얻어 청룡이 되었다고 전해진다. 주로 날씨에 관련된 마법을 부릴 줄 안다.
120183,이그니 블루드래곤,bluedragon,res/character/dragon/bluedragon_@_#/bluedragon_@_#.spine,1,0,0.8,res/ui/icon/cha/bluedragon_@_#.png,10,10,10,common,2,dealer,fire,200000,201813,201823,201833,201843,skill_active,,,2400,500,5000,30,10,75,5,0,5,20,동양의 신화에 구름과 비를 몰고 다닌다고 전해지는 드래곤이다. 이무기가 여의주를 얻어 청룡이 되었다고 전해진다. 주로 날씨에 관련된 마법을 부릴 줄 안다.
